DATALYSE	Næstved Gymnasium
elma 2730
t/s	T/°C	T/°C				
 0.163	 82.1	 80.2	 0	 0	 0	 0
 30.023	 80.1	 77	 0	 0	 0	 0
 60.044	 77.4	 74.8	 0	 0	 0	 0
 90.025	 74.8	 72.4	 0	 0	 0	 0
 120.005	 72.2	 70	 0	 0	 0	 0
 150.026	 69.9	 67.5	 0	 0	 0	 0
 180.006	 67.6	 65.4	 0	 0	 0	 0
 210.027	 65.5	 63.4	 0	 0	 0	 0
 240.008	 63.5	 61.5	 0	 0	 0	 0
 270.043	 61.6	 59.4	 0	 0	 0	 0
 300.009	 59.6	 57.7	 0	 0	 0	 0
 330.044	 58.1	 56.2	 0	 0	 0	 0
 360.024	 56.6	 54.6	 0	 0	 0	 0
 390.045	 55.1	 53	 0	 0	 0	 0
 420.026	 53.7	 51.6	 0	 0	 0	 0
 450.047	 52.2	 50.3	 0	 0	 0	 0
 480.027	 50.9	 49	 0	 0	 0	 0
 510.007	 49.7	 47.8	 0	 0	 0	 0
 540.028	 48.6	 46.7	 0	 0	 0	 0
 570.009	 47.5	 45.6	 0	 0	 0	 0
 600.044	 46.5	 44.5	 0	 0	 0	 0
 630.01	 45.5	 43.5	 0	 0	 0	 0
 660.045	 44.5	 42.5	 0	 0	 0	 0
 690.025	 43.6	 41.6	 0	 0	 0	 0
 720.046	 42.7	 40.8	 0	 0	 0	 0
 750.027	 41.9	 39.9	 0	 0	 0	 0
 780.048	 41	 39.2	 0	 0	 0	 0
 810.028	 40.2	 38.5	 0	 0	 0	 0
 840.008	 39.5	 37.7	 0	 0	 0	 0
 870.03	 38.7	 37	 0	 0	 0	 0
 900.009	 38	 36.3	 0	 0	 0	 0
 930.044	 37.4	 35.7	 0	 0	 0	 0
 960.011	 36.9	 47	 0	 0	 0	 0
 990.046	 36.3	 47.4	 0	 0	 0	 0
 1020.01	 35.7	 47.4	 0	 0	 0	 0
 1050.04	 35.2	 47.4	 0	 0	 0	 0
 1080.02	 34.6	 47.4	 0	 0	 0	 0
 1110.04	 34.1	 47.3	 0	 0	 0	 0
 1140.02	 33.6	 47.3	 0	 0	 0	 0
 1170	 33.1	 47.3	 0	 0	 0	 0
 1200.03	 32.7	 47.3	 0	 0	 0	 0
 1230.01	 32.3	 47.3	 0	 0	 0	 0
 1260.03	 31.9	 47.3	 0	 0	 0	 0
 1290.01	 31.5	 47.2	 0	 0	 0	 0
 1320.04	 31.1	 47.3	 0	 0	 0	 0
 1350.01	 30.8	 47.2	 0	 0	 0	 0
 1380.04	 30.4	 47.2	 0	 0	 0	 0
 1410.02	 30	 47.2	 0	 0	 0	 0
 1440.05	 29.7	 47.2	 0	 0	 0	 0
 1470.03	 29.4	 47.2	 0	 0	 0	 0
 1500.01	 29.1	 47.2	 0	 0	 0	 0
 1530.03	 28.8	 47.1	 0	 0	 0	 0
